person_id,departure_time,from_x,from_y,to_x,to_y,simulated_travel_time,validated_travel_time,simulated_distance,validated_distance
56492,69217.0,345104.82,5677017.91,346691.875,5678551.385,388.0,558.0,3201.2999999999993,3175.0
276525,32843.0,352610.585,5663614.94,353427.755,5666497.605,420.0,472.0,4744.579999999999,4361.0
150387,40165.0,346076.44,5680259.725000001,344744.55,5674670.870000001,871.0,833.0,7481.07,6871.0
25030,74265.0,346970.84,5676276.655,344937.1901324445,5676145.92931844,301.0,379.0,2729.5900000000006,2733.0
189278,64490.0,347414.61,5673699.09,345054.405,5675783.03,580.0,660.0,4751.4800000000005,4633.0
85926,48426.0,334171.025,5682446.49,343301.495,5680644.265000001,843.0,925.0,13923.480000000001,15242.0
192519,31097.0,372874.375,5671950.710000001,347868.08999999997,5681405.565,2659.0,2799.0,38554.53999999999,47411.0
221277,36876.0,339763.43,5677332.835000001,337522.62,5674925.745,372.0,523.0,4384.84,4694.0
276884,32675.0,353192.06,5676682.61,350048.85,5671296.725000001,832.0,1080.0,11545.839999999995,11390.0
219126,59057.0,345126.92500000005,5677944.050000001,351368.67500000005,5697621.6,1877.0,1680.0,26030.079999999994,24592.0
41729,66624.0,348643.42500000005,5677306.835000001,349212.91500000004,5677774.245000001,153.0,250.0,1243.97,1087.0
175558,55510.0,340517.5,5672446.200000001,347960.705,5676035.665000001,1240.0,1300.0,13561.01,11958.0
122816,30287.0,352167.01,5675333.175000001,347204.725,5673875.025,640.0,682.0,6859.0300000000025,11937.0
87074,41965.0,340417.45999999996,5677574.92,341064.41500000004,5678115.620000001,135.0,315.0,1217.95,1939.0
58297,25149.0,346621.68000000005,5683623.710000001,345682.1,5682243.305000001,367.0,357.0,3379.9500000000003,2837.0
74383,69593.0,344485.16500000004,5677027.325000001,345322.09,5677794.03,247.0,273.0,1838.5399999999997,1599.0
99079,36845.0,351396.935,5669577.085000001,351276.53500000003,5670187.6850000005,149.0,247.0,1278.88,1428.0
17033,21970.0,344714.815,5675130.725,354143.695,5670100.165000001,811.0,769.0,12483.01,13528.0
135011,41465.0,349032.05000000005,5675699.98,348422.83,5681697.195,867.0,975.0,8275.600000000002,9455.0
34676,77051.0,363089.93500000006,5682415.525,349280.55,5674786.165000001,1642.0,1776.0,19652.070000000003,21176.0
160037,62011.0,352688.56,5669098.665000001,321469.91000000003,5676012.99,2233.0,2413.0,42012.56999999999,43159.0
