Iteration	bike_travel	bike_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
113	23505	0	165961	0	35745	0	81489	22058	33466	0	0	0	113176	0
114	23507	0	168262	0	35802	0	81475	21981	33515	0	0	0	113149	0
115	23507	0	166178	0	35668	0	81456	22018	33505	0	0	0	113107	0
116	23506	0	164937	0	35622	0	81486	22031	33477	0	0	0	113152	0
117	23507	0	173767	0	36244	0	81483	21980	33439	0	0	0	113106	0
118	23507	0	177269	0	35951	0	81475	22094	33453	0	0	0	113111	0
119	23507	0	181703	0	36206	0	81484	21914	33428	0	0	0	113092	0
120	23506	0	168905	0	35648	0	81485	21917	33433	0	0	0	113096	0
121	23505	0	170672	0	35826	0	81474	21998	33397	0	0	0	113085	0
122	23506	0	163272	0	35417	0	81490	21994	33406	0	0	0	113106	0
123	23506	0	164001	0	35475	0	81505	22008	33382	0	0	0	113110	0
124	23505	0	164388	0	35448	0	81479	21963	33361	0	0	0	113155	0
125	23504	0	168792	0	35663	0	81461	22026	33363	0	0	0	113085	0
126	23506	0	169913	0	35811	0	81461	21922	33368	0	0	0	113096	0
127	23505	0	168398	0	35525	0	81473	21986	33364	0	0	0	113070	0
128	23507	0	163686	0	35451	0	81470	21999	33329	0	0	0	113108	0
129	23506	0	161745	0	35323	0	81500	21891	33302	0	0	0	113116	0
130	23507	0	162092	0	35329	0	81470	21870	33288	0	0	0	113119	0
131	23507	0	161814	0	35299	0	81445	21891	33269	0	0	0	113057	0
132	23507	0	164310	0	35370	0	81463	21980	33267	0	0	0	113091	0
133	23507	0	162020	0	35335	0	81469	21927	33271	0	0	0	113118	0
134	23507	0	163063	0	35394	0	81453	22018	33249	0	0	0	113100	0
135	23506	0	165265	0	35340	0	81455	22004	33217	0	0	0	113101	0
136	23507	0	172523	0	35752	0	81465	21908	33231	0	0	0	113040	0
137	23506	0	187979	0	36315	0	81456	21808	33204	0	0	0	113141	0
138	23507	0	192405	0	36130	0	81449	21893	33264	0	0	0	113114	0
139	23507	0	179605	0	35455	0	81460	21975	33230	0	0	0	113121	0
140	23507	0	185587	0	35772	0	81457	22007	33178	0	0	0	113091	0
141	23507	0	182972	0	35717	0	81450	21937	33142	0	0	0	113101	0
142	23506	0	195203	0	35989	0	81455	21971	33180	0	0	0	113120	0
143	23507	0	176286	0	35305	0	81469	22034	33134	0	0	0	113068	0
144	23507	0	185440	0	35632	0	81450	21887	33158	0	0	0	113139	0
145	23507	0	184475	0	36005	0	81440	21833	33137	0	0	0	113130	0
146	23507	0	170014	0	35156	0	81453	21905	33162	0	0	0	113103	0
147	23506	0	191741	0	36211	0	81463	21839	33081	0	0	0	113106	0
148	23507	0	180802	0	36455	0	81497	21897	33124	0	0	0	113111	0
149	23508	0	183537	0	35884	0	81438	21831	33074	0	0	0	113082	0
150	23507	0	171268	0	35457	0	81485	21993	33117	0	0	0	113098	0
151	23507	0	171248	0	35241	0	81441	21967	33069	0	0	0	113090	0
152	23506	0	164779	0	35043	0	81438	21883	33082	0	0	0	113070	0
153	23505	0	168814	0	35059	0	81441	21844	33051	0	0	0	113102	0
